TID,Movie,Year of Release,Rating,No. of Votes,Director
1,The Shawshank Redemption,1994,9.3,1998810,Frank Darabont
2,The Godfather,1972,9.2,1369267,Francis Ford Coppola
3,The Dark Knight,2008,9,1968220,Christopher Nolan
4,The Godfather: Part II,1974,9,947932,Francis Ford Coppola
5,Pulp Fiction,1994,8.9,1560782,Quentin Tarantino
6,Schindler's List,1993,8.9,1031413,Steven Spielberg
7,The Lord of the Rings: The Return of the King,2003,8.9,1423464,Peter Jackson
8,12 Angry Men,1957,8.9,559378,Sidney Lumet
9,The Good the Bad and the Ugly,1966,8.9,592517,Sergio Leone
10,Inception,2010,8.8,1749014,Christopher Nolan
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1440369,Peter Jackson
12,Fight Club,1999,8.8,1599993,David Fincher
13,Forrest Gump,1994,8.8,1521106,Robert Zemeckis
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,1004483,Irvin Kershner
15,Goodfellas,1990,8.7,861577,Martin Scorsese
16,The Matrix,1999,8.7,1434330,Lana Wachowski
17,One Flew Over the Cuckoo's Nest,1975,8.7,794483,Milos Forman
18,The Lord of the Rings: The Two Towers,2002,8.7,1286902,Peter Jackson
19,Seven Samuri,1954,8.7,270814,Akira Kurosawa
20,Avengers: Infinity War,2018,8.6,490808,Anthony Russo
21,Interstellar,2014,8.6,1212351,Christopher Nolan
22,Star Wars: Episdoe IV - A New Hope,1977,8.6,1074889,George Lucas
23,Leon: The Professional,1994,8.6,875630,Luc Besson
24,The Silence of the Lambs,1991,8.6,1071252,Jonathan Demme
25,Se7en,1995,8.6,1221146,David Fincher
26,Saving Private Ryan,1998,8.6,1053337,Steven Spielberg
27,The Usual Suspects,1995,8.6,868241,Bryan Singer
28,Spirited Away,2001,8.6,524724,Hayao Miyazaki
29,City of God,2002,8.6,618351,Fernando Meirelles
30,Life is Beautiful,1997,8.6,521397,Roberto Benigni
